00001 , 'Yoga Mat' , 'Flexibility Training' , 11.9 , 27.0
00428 , 'Weightlift' , 'Cardio' , NULL , 40.7
00429 , 'Weightlift' , 'Strength Training' , 6.5 , 13.6
00430 , 'Jump Rope' , 'Climbing' , NULL , NULL
00431 , 'Rope' , 'Cardio' , NULL , 18.6
00432 , 'Kettlebell' , 'Cardio' , NULL , 41.8
00433 , 'Pull-up Bar' , 'Flexibility Training' , 6.6 , 33.3
00434 , 'Dumbbell' , 'General Fitness' , 14.7 , NULL
00435 , 'Rope' , 'General Fitness' , NULL , 22.2
00436 , 'Kettlebell' , 'Cardio' , 4.6 , 38.1
00437 , 'Kettlebell' , 'General Fitness' , 2.3 , NULL
00438 , 'Exercise Ball' , 'Cardio' , NULL , 44.7
00439 , 'Exercise Ball' , 'Climbing' , 13.2 , NULL
00440 , 'Kettlebell' , 'Cardio' , 8.1 , NULL
00441 , 'Exercise Ball' , 'Cardio' , 12.8 , 16.9
00442 , 'Kettlebell' , 'Cardio' , NULL , 14.3
00443 , 'Yoga Mat' , 'Strength Training' , NULL , NULL
00444 , 'Dumbbell' , 'General Fitness' , 1.1 , NULL
00445 , 'Dumbbell' , 'Strength Training' , NULL , 6.6
00446 , 'Resistance Band' , 'General Fitness' , NULL , NULL
00447 , 'Weightlift' , 'Strength Training' , NULL , 9.6
00448 , 'Rope' , 'General Fitness' , 4.2 , 27.4
00449 , 'Rope' , 'General Fitness' , NULL , 48.5
00450 , 'Pull-up Bar' , 'General Fitness' , 14.4 , 9.6
00451 , 'Pull-up Bar' , 'General Fitness' , 18.5 , NULL
00452 , 'Resistance Band' , 'Cardio' , NULL , NULL
00453 , 'Medicine Ball' , 'General Fitness' , NULL , NULL
00454 , 'Medicine Ball' , 'Cardio' , 11.3 , NULL
00455 , 'Pull-up Bar' , 'Cardio' , NULL , NULL
00456 , 'Rope' , 'General Fitness' , NULL , NULL
00457 , 'Rope' , 'Flexibility Training' , 4.0 , NULL
00458 , 'Medicine Ball' , 'Climbing' , NULL , 42.0
00459 , 'Rope' , 'Cardio' , 6.8 , 17.4
00460 , 'Pull-up Bar' , 'Flexibility Training' , 2.2 , NULL
00461 , 'Dumbbell' , 'Cardio' , NULL , 14.5
00462 , 'Pull-up Bar' , 'Strength Training' , 11.3 , 43.8
00463 , 'Resistance Band' , 'Climbing' , NULL , 25.6
00464 , 'Weightlift' , 'Climbing' , NULL , NULL
00465 , 'Jump Rope' , 'Strength Training' , 7.6 , 40.7
00466 , 'Rope' , 'Cardio' , NULL , NULL
00467 , 'Rope' , 'Strength Training' , NULL , NULL
00468 , 'Resistance Band' , 'General Fitness' , NULL , NULL
00469 , 'Pull-up Bar' , 'Strength Training' , NULL , 47.4
00470 , 'Dumbbell' , 'Strength Training' , 5.8 , NULL
00471 , 'Kettlebell' , 'Cardio' , 16.5 , 49.6
00472 , 'Pull-up Bar' , 'Flexibility Training' , 4.9 , 9.7
00473 , 'Rope' , 'Climbing' , 7.6 , NULL
00474 , 'Resistance Band' , 'Strength Training' , NULL , NULL
00475 , 'Yoga Mat' , 'General Fitness' , 1.0 , 43.1
00476 , 'Yoga Mat' , 'Strength Training' , 2.7 , NULL
00477 , 'Yoga Mat' , 'Flexibility Training' , NULL , NULL
00478 , 'Dumbbell' , 'Flexibility Training' , NULL , 37.2
00479 , 'Resistance Band' , 'Flexibility Training' , NULL , NULL
00480 , 'Medicine Ball' , 'Cardio' , NULL , 13.7
00481 , 'Medicine Ball' , 'Cardio' , NULL , 41.2
00482 , 'Resistance Band' , 'Climbing' , 8.2 , NULL
00483 , 'Exercise Ball' , 'Strength Training' , 9.0 , NULL
00484 , 'Weightlift' , 'Climbing' , NULL , 21.7
00485 , 'Resistance Band' , 'General Fitness' , 17.4 , 9.6
00486 , 'Jump Rope' , 'Flexibility Training' , 3.0 , NULL
00487 , 'Exercise Ball' , 'Flexibility Training' , 15.3 , NULL
00488 , 'Kettlebell' , 'General Fitness' , 3.3 , NULL
00489 , 'Medicine Ball' , 'General Fitness' , NULL , 4.3
00490 , 'Weightlift' , 'Climbing' , 18.8 , 41.7
00491 , 'Exercise Ball' , 'General Fitness' , 18.1 , NULL
00492 , 'Yoga Mat' , 'Flexibility Training' , 6.5 , 8.6
00493 , 'Dumbbell' , 'Strength Training' , NULL , 30.3
00494 , 'Medicine Ball' , 'Strength Training' , NULL , NULL
00495 , 'Kettlebell' , 'General Fitness' , 19.2 , NULL
00496 , 'Weightlift' , 'Climbing' , NULL , 35.5
00497 , 'Yoga Mat' , 'General Fitness' , 13.0 , 39.7
00498 , 'Resistance Band' , 'General Fitness' , NULL , NULL
00499 , 'Jump Rope' , 'Cardio' , 5.1 , NULL
00500 , 'Kettlebell' , 'General Fitness' , NULL , 27.6
